anio	comuna	codigo_comuna	region	id_region	habitantes	indice_de_desarrollo_humano	indice_pobreza_multidimensional	v	v_ranking	v_cat	v1	v1_cat	v3	v3_cat	v2	v2_cat	v_gauge	v1_gauge	v2_gauge	v3_gauge
2024	Catemu	05702	Valparaíso	5	15600	0.568	0.185	0.515	141	MEDIO ALTO	0.452	MEDIO BAJO	0.664	ALTO	0.43	MEDIO BAJO	0.533	0.375	0.282	0.955
2024	Llaillay	05703	Valparaíso	5	27119	0.629	0.155	0.53	126	MEDIO ALTO	0.493	MEDIO ALTO	0.576	ALTO	0.52	MEDIO ALTO	0.587	0.506	0.619	0.812
2024	Panquehue	05704	Valparaíso	5	7794	0.596	0.183	0.445	251	BAJO	0.488	MEDIO BAJO	0.5	MEDIO BAJO	0.348	BAJO	0.168	0.491	0.037	0.477
2024	Putaendo	05705	Valparaíso	5	17945	0.552	0.232	0.512	145	MEDIO ALTO	0.488	MEDIO BAJO	0.618	ALTO	0.43	MEDIO BAJO	0.52	0.491	0.282	0.912
2024	Santa María	05706	Valparaíso	5	16827	0.6	0.198	0.454	230	BAJO	0.446	MEDIO BAJO	0.496	MEDIO BAJO	0.422	BAJO	0.237	0.352	0.244	0.46
2024	Quilpué	05801	Valparaíso	5	172073	0.675	0.16	0.594	26	ALTO	0.684	ALTO	0.381	BAJO	0.716	ALTO	0.923	0.956	0.983	0.118
2024	Limache	05802	Valparaíso	5	51289	0.623	0.176	0.513	143	MEDIO ALTO	0.628	ALTO	0.465	MEDIO BAJO	0.446	MEDIO BAJO	0.53	0.895	0.346	0.337
2024	Olmué	05803	Valparaíso	5	20013	0.6	0.261	0.431	264	BAJO	0.546	MEDIO ALTO	0.392	BAJO	0.355	BAJO	0.128	0.663	0.04	0.125
2024	Villa Alemana	05804	Valparaíso	5	145490	0.67	0.15	0.545	93	MEDIO ALTO	0.656	ALTO	0.38	BAJO	0.599	ALTO	0.697	0.936	0.826	0.112
2024	Rancagua	06101	Libertador General Bernardo O'Higgins	6	272290	0.658	0.147	0.592	28	ALTO	0.642	ALTO	0.516	MEDIO ALTO	0.618	ALTO	0.91	0.916	0.866	0.562
2024	Codegua	06102	Libertador General Bernardo O'Higgins	6	14504	0.615	0.182	0.469	215	MEDIO BAJO	0.443	MEDIO BAJO	0.498	MEDIO BAJO	0.464	MEDIO BAJO	0.287	0.343	0.407	0.467
2024	Coinco	06103	Libertador General Bernardo O'Higgins	6	7983	0.556	0.219	NA	NA	NA	0.522	MEDIO ALTO	NA	NA	0.645	ALTO	NA	0.61	0.907	NA
2024	Coltauco	06104	Libertador General Bernardo O'Higgins	6	21936	0.566	0.164	0.497	167	MEDIO BAJO	0.496	MEDIO ALTO	0.593	ALTO	0.403	BAJO	0.45	0.517	0.175	0.873
2024	Doñihue	06105	Libertador General Bernardo O'Higgins	6	23425	0.611	0.151	0.548	84	MEDIO ALTO	0.513	MEDIO ALTO	0.456	MEDIO BAJO	0.674	ALTO	0.727	0.576	0.948	0.29
2024	Graneros	06106	Libertador General Bernardo O'Higgins	6	37793	0.597	0.133	0.416	273	BAJO	0.592	ALTO	0.335	BAJO	0.321	BAJO	0.095	0.82	0.014	0.056
2024	Las Cabras	06107	Libertador General Bernardo O'Higgins	6	27520	0.537	0.165	0.444	253	BAJO	0.409	BAJO	0.463	MEDIO BAJO	0.459	MEDIO BAJO	0.161	0.227	0.398	0.327
2024	Machalí	06108	Libertador General Bernardo O'Higgins	6	63642	0.78	0.129	0.558	73	ALTO	0.627	ALTO	0.497	MEDIO BAJO	0.551	MEDIO ALTO	0.767	0.89	0.698	0.463
2024	Malloa	06109	Libertador General Bernardo O'Higgins	6	14274	0.526	0.134	0.52	137	MEDIO ALTO	0.414	BAJO	0.626	ALTO	0.52	MEDIO ALTO	0.547	0.244	0.619	0.925
2024	Mostazal	06110	Libertador General Bernardo O'Higgins	6	28295	0.594	0.21	0.474	205	MEDIO BAJO	0.52	MEDIO ALTO	0.401	BAJO	0.501	MEDIO ALTO	0.327	0.605	0.552	0.132
2024	Olivar	06111	Libertador General Bernardo O'Higgins	6	14919	0.643	0.184	0.556	76	ALTO	0.463	MEDIO BAJO	0.758	ALTO	0.448	MEDIO BAJO	0.757	0.422	0.369	0.997
2024	Peumo	06112	Libertador General Bernardo O'Higgins	6	15018	0.586	0.108	0.448	246	BAJO	0.446	MEDIO BAJO	0.531	MEDIO ALTO	0.366	BAJO	0.184	0.352	0.08	0.623
2024	Pichidegua	06113	Libertador General Bernardo O'Higgins	6	21009	0.539	0.13	0.44	258	BAJO	0.419	MEDIO BAJO	0.381	BAJO	0.52	MEDIO ALTO	0.145	0.27	0.619	0.118
2024	Quinta de Tilcoco	06114	Libertador General Bernardo O'Higgins	6	14194	0.544	0.148	0.503	159	MEDIO BAJO	0.468	MEDIO BAJO	0.549	MEDIO ALTO	0.493	MEDIO ALTO	0.473	0.439	0.529	0.692
2024	Rengo	06115	Libertador General Bernardo O'Higgins	6	65318	0.571	0.136	0.572	49	ALTO	0.576	ALTO	0.566	ALTO	0.573	ALTO	0.847	0.753	0.776	0.766
2024	Requinoa	06116	Libertador General Bernardo O'Higgins	6	31410	0.627	0.168	0.536	113	MEDIO ALTO	0.451	MEDIO BAJO	0.729	ALTO	0.427	BAJO	0.63	0.366	0.25	0.984
2024	San Vicente	06117	Libertador General Bernardo O'Higgins	6	51910	0.595	0.171	0.505	158	MEDIO BAJO	0.478	MEDIO BAJO	0.438	BAJO	0.599	ALTO	0.48	0.453	0.826	0.23
2024	Pichilemu	06201	Libertador General Bernardo O'Higgins	6	18587	0.566	0.181	0.569	55	ALTO	0.621	ALTO	0.459	MEDIO BAJO	0.626	ALTO	0.82	0.878	0.878	0.3
2024	La Estrella	06202	Libertador General Bernardo O'Higgins	6	3103	0.564	0.159	NA	NA	NA	0.443	MEDIO BAJO	NA	NA	0.538	MEDIO ALTO	NA	0.343	0.674	NA
2024	Litueche	06203	Libertador General Bernardo O'Higgins	6	6909	0.533	0.278	0.45	244	BAJO	0.435	MEDIO BAJO	0.518	MEDIO ALTO	0.395	BAJO	0.191	0.32	0.135	0.575
2024	Marchihue	06204	Libertador General Bernardo O'Higgins	6	7699	0.558	0.167	0.374	294	BAJO	0.391	BAJO	0.349	BAJO	0.382	BAJO	0.026	0.152	0.098	0.082
