Comuna	Código Comuna	Región	Habitantes	Índice de desarrollo humano	índice pobreza multidimensional	Valor Índice de inclusión digital	Categoría Índice de inclusión digital	Valor sub indicador 1_Acceso	Categoría sub indicador 1_Acceso	Valor sub indicador 2_Político	Categoría sub indicador 2_Político	Valor sub indicador 3_Educativo	Categoría sub indicador 3_Educativo	Valor Índice de inclusión digital	Valor sub indicador 1_Acceso	Valor sub indicador 2_Político	Valor sub indicador 3_Educativo
Graneros	06106	O'Higgins	37.793	0,597	0,133	0,416	Bajo	0,592	Alto	0,321	Bajo	0,335	Bajo	0,416129836	0,592277287	0,321014581	0,335097641
Molina	07304	Maule	51.539	0,544	0,179	0,511	Medio Alto	0,465	Medio bajo	0,594	Alto	0,475	Medio bajo	0,511373644	0,464882178	0,594153547	0,475085207
Parral	07404	Maule	45.347	0,559	0,136	0,52	Medio Alto	0,539	Medio Alto	0,475	Medio bajo	0,545	Medio Alto	0,519673158	0,539304042	0,474820989	0,544894444
Pelarco	07106	Maule	9.331	0,562	0,206	0,544	Medio Alto	0,375	Bajo	0,573	Alto	0,684	Alto	0,543874706	0,374559688	0,572938870	0,684125561
Cholchol	09121	La Araucanía	12.578	0,382	0,365	0,416	Bajo	0,38	Bajo	0,403	Bajo	0,464	Medio bajo	0,415726321	0,380257718	0,403221454	0,463699790
Pencahue	07107	Maule	8.625	0,588	0,206			0,392	Bajo	0,403	Bajo				0,392433889	0,403221454	
Petorca	05404	Valparaíso	10.615	0,566	0,165	0,417	Bajo	0,366	Bajo	0,576	Alto	0,31	Bajo	0,417444072	0,366268741	0,575590704	0,310472771
Retiro	07405	Maule	21.397	0,474	0,189	0,418	Bajo	0,374	Bajo	0,403	Bajo	0,476	Medio bajo	0,417821604	0,374159136	0,403221454	0,476084221
Renaico	09209	La Araucanía	10.964	0,55	0,166	0,418	Bajo	0,431	Medio bajo	0,403	Bajo	0,42	Bajo	0,418070822	0,430520075	0,403221454	0,420470937
San Pedro	13505	Metropolitana	12.412	0,534	0,319	0,422	Bajo	0,381	Bajo	0,456	Medio bajo	0,427	Bajo	0,421544882	0,381027025	0,456258146	0,427349476
Hijuelas	05503	Valparaíso	19.389	0,592	0,223	0,478	Medio bajo	0,494	Medio Alto	0,422	Bajo	0,518	Medio Alto	0,478018383	0,494429560	0,421784296	0,517841293
